"transaction_id","customer_id","amount","payment_method","device_type","ip_country","billing_country","failed_attempts","account_age_days","previous_order_count","avg_order_value","is_new_customer","is_fraud"
"MLTXN-000001","CUST-ML-0224","2012","UPI","Desktop","IN","IN","1","227","3","1879","false","0"
"MLTXN-000002","CUST-ML-0068","6576","NETBANKING","Mobile","US","US","0","263","5","7904","false","0"
"MLTXN-000003","CUST-ML-0411","585","CARD","Desktop","AU","AU","0","249","7","560","false","0"
"MLTXN-000004","CUST-ML-0394","8228","UPI","Mobile","IN","IN","0","455","14","3624","false","0"
"MLTXN-000005","CUST-ML-0285","1111","UPI","Tablet","IN","IN","2","553","10","925","false","0"
"MLTXN-000006","CUST-ML-0205","5588","UPI","Desktop","IN","IN","0","573","8","2253","false","0"
"MLTXN-000007","CUST-ML-0460","1015","CARD","Mobile","IN","IN","5","780","14","864","false","0"
"MLTXN-000008","CUST-ML-0297","786","UPI","Mobile","US","US","2","12","1","1355","true","0"
"MLTXN-000009","CUST-ML-0533","4681","WALLET","Desktop","AE","AE","1","16","0","6660","false","0"
"MLTXN-000010","CUST-ML-0318","3845","CARD","Desktop","IN","IN","2","750","22","3788","false","1"
"MLTXN-000011","CUST-ML-0134","554","CARD","Mobile","IN","IN","0","181","5","1216","false","1"
"MLTXN-000012","CUST-ML-0153","746","WALLET","Mobile","IN","IN","0","630","10","1208","false","1"
"MLTXN-000013","CUST-ML-0415","1814","UPI","Mobile","GB","GB","0","463","16","873","false","0"
"MLTXN-000014","CUST-ML-0143","8606","WALLET","Mobile","SG","SG","2","67","2","6732","false","0"
"MLTXN-000015","CUST-ML-0473","852","NETBANKING","Mobile","IN","IN","0","21","1","1099","false","0"
"MLTXN-000016","CUST-ML-0128","2306","NETBANKING","Mobile","IN","IN","0","39","1","1202","false","0"
"MLTXN-000017","CUST-ML-0449","4702","UPI","Desktop","IN","IN","0","515","6","2677","false","1"
"MLTXN-000018","CUST-ML-0501","1194","CARD","Mobile","US","US","0","714","26","782","false","0"
"MLTXN-000019","CUST-ML-0276","7878","CARD","Tablet","AE","AE","0","495","13","3285","false","0"
"MLTXN-000020","CUST-ML-0457","823","CARD","Tablet","SG","IN","2","229","5","1020","false","1"
"MLTXN-000021","CUST-ML-0044","4886","WALLET","Mobile","IN","IN","0","427","10","3342","false","0"
"MLTXN-000022","CUST-ML-0451","1215","WALLET","Mobile","CA","CA","1","923","24","814","false","0"
"MLTXN-000023","CUST-ML-0515","2175","NETBANKING","Mobile","IN","IN","0","529","5","1855","false","0"
"MLTXN-000024","CUST-ML-0361","1286","UPI","Mobile","IN","IN","0","1322","16","450","false","0"
"MLTXN-000025","CUST-ML-0051","5292","WALLET","Mobile","IN","IN","0","133","4","3390","false","1"
"MLTXN-000026","CUST-ML-0564","3046","UPI","Mobile","AU","AU","0","64","2","2180","false","0"
"MLTXN-000027","CUST-ML-0188","3400","CARD","Mobile","IN","IN","1","21","1","959","false","0"
"MLTXN-000028","CUST-ML-0326","2083","CARD","Mobile","GB","IN","0","6","0","1318","true","0"
"MLTXN-000029","CUST-ML-0140","916","CARD","Desktop","SG","SG","0","601","15","1049","false","1"
"MLTXN-000030","CUST-ML-0478","1706","UPI","Mobile","IN","IN","2","630","16","1265","false","0"
"MLTXN-000031","CUST-ML-0377","1163","CARD","Mobile","IN","IN","0","660","24","947","false","0"
"MLTXN-000032","CUST-ML-0321","1258","UPI","Mobile","US","US","0","277","9","1282","false","0"
"MLTXN-000033","CUST-ML-0448","450","WALLET","Desktop","AU","AU","0","595","6","270","false","0"
"MLTXN-000034","CUST-ML-0522","1463","CARD","Mobile","US","US","2","943","12","1601","false","1"
"MLTXN-000035","CUST-ML-0026","4539","CARD","Mobile","US","US","1","772","13","1822","false","0"
"MLTXN-000036","CUST-ML-0488","1288","UPI","Desktop","AE","AE","2","21","1","3497","false","0"
"MLTXN-000037","CUST-ML-0573","1683","CARD","Desktop","IN","IN","2","189","2","1303","false","0"
"MLTXN-000038","CUST-ML-0136","2279","CARD","Desktop","IN","IN","1","847","8","1582","false","0"
"MLTXN-000039","CUST-ML-0056","606","UPI","Mobile","IN","IN","1","349","12","401","false","0"
"MLTXN-000040","CUST-ML-0341","1464","UPI","Mobile","IN","IN","0","656","7","1376","false","1"
"MLTXN-000041","CUST-ML-0514","3603","WALLET","Mobile","IN","IN","1","389","12","2036","false","0"
"MLTXN-000042","CUST-ML-0252","1116","CARD","Mobile","IN","IN","0","1066","40","953","false","0"
"MLTXN-000043","CUST-ML-0375","19009","UPI","Desktop","IN","IN","0","183","2","10091","false","1"
"MLTXN-000044","CUST-ML-0380","107610","UPI","Desktop","IN","IN","2","13","0","11035","true","0"
"MLTXN-000045","CUST-ML-0222","4586","UPI","Desktop","IN","IN","0","109","2","1973","false","0"
"MLTXN-000046","CUST-ML-0513","4163","UPI","Desktop","IN","IN","1","578","18","3715","false","0"
"MLTXN-000047","CUST-ML-0344","1078","CARD","Mobile","SA","SA","0","209","5","996","false","0"
"MLTXN-000048","CUST-ML-0376","2738","CARD","Mobile","IN","IN","0","683","13","2034","false","0"
"MLTXN-000049","CUST-ML-0401","6054","UPI","Mobile","IN","IN","0","657","18","698","false","0"
"MLTXN-000050","CUST-ML-0117","1118","WALLET","Mobile","IN","IN","0","235","8","1220","false","0"
"MLTXN-000051","CUST-ML-0391","1133","CARD","Desktop","IN","IN","0","446","7","850","false","0"
"MLTXN-000052","CUST-ML-0078","4175","WALLET","Desktop","IN","IN","0","559","13","1049","false","0"
"MLTXN-000053","CUST-ML-0379","2040","UPI","Desktop","IN","IN","0","158","6","1073","false","0"
"MLTXN-000054","CUST-ML-0066","321","UPI","Mobile","IN","IN","0","216","8","734","false","0"
"MLTXN-000055","CUST-ML-0192","1771","UPI","Desktop","IN","IN","2","699","22","413","false","0"
"MLTXN-000056","CUST-ML-0308","1984","UPI","Mobile","US","US","6","415","11","1938","false","0"
"MLTXN-000057","CUST-ML-0220","2311","UPI","Desktop","SG","SG","5","475","7","740","false","1"
"MLTXN-000058","CUST-ML-0406","1274","UPI","Mobile","IN","IN","0","17","0","908","false","1"
"MLTXN-000059","CUST-ML-0529","1511","UPI","Mobile","DE","DE","0","542","7","880","false","0"
"MLTXN-000060","CUST-ML-0028","1399","NETBANKING","Desktop","IN","IN","0","858","24","2296","false","0"
"MLTXN-000061","CUST-ML-0528","118","UPI","Desktop","IN","IN","0","594","18","346","false","0"
"MLTXN-000062","CUST-ML-0025","714","NETBANKING","Mobile","IN","IN","0","29","1","1335","false","0"
"MLTXN-000063","CUST-ML-0176","3368","UPI","Desktop","GB","GB","0","21","1","1963","false","0"
"MLTXN-000064","CUST-ML-0388","1719","NETBANKING","Mobile","IN","IN","2","15","1","1695","false","1"
"MLTXN-000065","CUST-ML-0057","412","CARD","Mobile","AU","AU","1","203","5","617","false","0"
"MLTXN-000066","CUST-ML-0394","5504","UPI","Mobile","DE","IN","2","455","15","3934","false","0"
"MLTXN-000067","CUST-ML-0269","1112","UPI","Mobile","GB","GB","0","1053","36","1192","false","0"
"MLTXN-000068","CUST-ML-0498","2802","UPI","Mobile","IN","IN","2","303","9","3299","false","0"
"MLTXN-000069","CUST-ML-0157","792","UPI","Desktop","DE","DE","0","802","18","567","false","0"
"MLTXN-000070","CUST-ML-0182","4176","WALLET","Mobile","IN","IN","5","639","19","2894","false","0"
"MLTXN-000071","CUST-ML-0499","2493","UPI","Desktop","IN","IN","0","189","7","3505","false","0"
"MLTXN-000072","CUST-ML-0465","384","CARD","Mobile","DE","DE","0","664","21","753","false","0"
"MLTXN-000073","CUST-ML-0208","7794","UPI","Desktop","IN","IN","0","405","7","5478","false","0"
"MLTXN-000074","CUST-ML-0142","2232","WALLET","Mobile","AU","AU","1","1084","15","924","false","0"
"MLTXN-000075","CUST-ML-0455","453","CARD","Desktop","IN","IN","0","1125","20","680","false","1"
"MLTXN-000076","CUST-ML-0205","5632","NETBANKING","Desktop","IN","IN","0","573","9","2338","false","0"
"MLTXN-000077","CUST-ML-0318","10127","CARD","Desktop","IN","IN","0","750","23","3149","false","0"
