"transaction_id","customer_id","timestamp","amount","payment_method","device_type","ip_country","billing_country","failed_attempts","account_age_days","previous_order_count","avg_order_value","is_new_customer","country_mismatch","amount_to_avg_ratio","is_fraud"
"V2TXN-000001","CUST-V2-0810","2025-01-01T13:05:45.0240000+05:30","1000","CARD","Mobile","IN","IN","1","17","0","1247","true","false","0.8019","0"
"V2TXN-000002","CUST-V2-0936","2025-01-01T17:48:44.7680000+05:30","510","UPI","Mobile","IN","IN","0","722","17","563","false","false","0.9059","0"
"V2TXN-000003","CUST-V2-0813","2025-01-02T00:08:32.9750000+05:30","57021","CARD","Desktop","AU","AU","0","10","0","11458","true","false","4.9765","1"
"V2TXN-000004","CUST-V2-0112","2025-01-02T01:30:03.5480000+05:30","1916","CARD","Desktop","AU","AU","0","901","27","2170","false","false","0.8829","0"
"V2TXN-000005","CUST-V2-0517","2025-01-02T04:18:39.4800000+05:30","1969","WALLET","Mobile","IN","IN","1","9","1","1668","true","false","1.1805","0"
"V2TXN-000006","CUST-V2-0390","2025-01-02T04:51:06.3350000+05:30","1113","UPI","Mobile","IN","IN","1","3","0","1417","true","false","0.7855","0"
"V2TXN-000007","CUST-V2-0976","2025-01-02T05:56:16.7230000+05:30","1151","UPI","Tablet","AE","AE","0","19","1","1037","true","false","1.1099","0"
"V2TXN-000008","CUST-V2-0493","2025-01-02T09:14:49.7380000+05:30","849","CARD","Desktop","IN","IN","0","24","0","1160","true","false","0.7319","0"
"V2TXN-000009","CUST-V2-0615","2025-01-02T12:22:27.0870000+05:30","516","UPI","Mobile","SG","SG","0","259","4","1192","false","false","0.4329","0"
"V2TXN-000010","CUST-V2-0006","2025-01-02T13:43:46.3210000+05:30","1607","UPI","Mobile","IN","IN","0","1222","28","1308","false","false","1.2286","0"
"V2TXN-000011","CUST-V2-0755","2025-01-02T16:02:59.6380000+05:30","1976","CARD","Mobile","GB","GB","0","1434","18","1274","false","false","1.5510","0"
"V2TXN-000012","CUST-V2-0254","2025-01-02T19:37:49.8880000+05:30","2544","CARD","Mobile","CA","SG","4","117","2","1541","false","true","1.6509","1"
"V2TXN-000013","CUST-V2-0444","2025-01-02T22:59:43.0280000+05:30","11955","CARD","Mobile","IN","IN","1","1","0","1492","true","false","8.0127","1"
"V2TXN-000014","CUST-V2-0885","2025-01-02T23:25:34.9990000+05:30","766","CARD","Mobile","IN","IN","0","15","1","1551","true","false","0.4939","0"
"V2TXN-000015","CUST-V2-0047","2025-01-03T02:54:18.4320000+05:30","3665","BANK_TRANSFER","Mobile","US","US","1","17","0","2961","true","false","1.2378","0"
"V2TXN-000016","CUST-V2-0029","2025-01-03T05:23:42.8610000+05:30","4302","UPI","Mobile","IN","IN","1","19","1","2710","true","false","1.5875","0"
