transaction_id,customer_id,amount,payment_method,device_type,ip_country,billing_country,failed_attempts,account_age_days,previous_order_count,avg_order_value,is_new_customer
TXN-1001,CUST-001,1200,UPI,Mobile,IN,IN,0,180,12,1100,False
TXN-1002,CUST-002,4500,CARD,Desktop,IN,IN,1,15,2,1900,False
TXN-1003,CUST-003,22000,CARD,Mobile,US,IN,4,3,0,2500,True
TXN-1004,CUST-004,3400,UPI,Mobile,IN,IN,0,90,4,3000,False
TXN-1005,CUST-005,28000,NETBANKING,Desktop,IN,US,3,5,0,1600,True
TXN-1006,CUST-006,900,UPI,Mobile,IN,IN,0,270,20,950,False
TXN-1007,CUST-007,1800,CARD,Desktop,IN,IN,1,8,1,1400,False
TXN-1008,CUST-008,32000,CARD,Mobile,SG,IN,5,2,0,1200,True
TXN-1009,CUST-009,2400,UPI,Mobile,IN,IN,0,150,9,2300,False
TXN-1010,CUST-010,75000,CARD,Desktop,IN,IN,2,10,1,3500,False
TXN-1011,CUST-011,1500,UPI,Mobile,IN,IN,0,365,18,1400,False
TXN-1012,CUST-012,11800,NETBANKING,Desktop,IN,IN,2,6,0,2000,True
TXN-1013,CUST-013,900,CARD,Mobile,IN,IN,0,300,15,820,False
TXN-1014,CUST-014,2600,UPI,Mobile,IN,IN,0,42,3,2500,False
TXN-1015,CUST-015,39000,CARD,Desktop,US,IN,4,4,0,1800,True
TXN-1016,CUST-016,1400,UPI,Mobile,IN,IN,0,240,11,1350,False
TXN-1017,CUST-017,6200,CARD,Desktop,IN,IN,1,11,2,2000,False
TXN-1018,CUST-018,1750,UPI,Mobile,IN,IN,0,98,7,1700,False
TXN-1019,CUST-019,46000,CARD,Mobile,IN,AE,3,5,0,1400,True
TXN-1020,CUST-020,800,UPI,Mobile,IN,IN,0,210,12,850,False
TXN-1021,CUST-021,2500,CARD,Desktop,IN,IN,0,100,8,2600,False
TXN-1022,CUST-022,12000,CARD,Mobile,US,IN,2,6,0,1700,True
TXN-1023,CUST-023,5050,UPI,Mobile,IN,IN,0,81,6,4200,False
TXN-1024,CUST-024,18000,NETBANKING,Desktop,IN,IN,1,9,1,2200,False
TXN-1025,CUST-025,950,UPI,Mobile,IN,IN,0,400,30,980,False
TXN-1026,CUST-026,600,UPI,Mobile,IN,IN,0,50,5,620,False
TXN-1027,CUST-027,72000,CARD,Desktop,GB,IN,4,2,0,2000,True
TXN-1028,CUST-028,1300,CARD,Mobile,IN,IN,0,110,9,1210,False
TXN-1029,CUST-029,2100,UPI,Mobile,IN,IN,0,175,12,2050,False
TXN-1030,CUST-030,200000,CARD,Desktop,IN,IN,6,1,0,3000,True
TXN-1031,CUST-031,3500,UPI,Mobile,IN,IN,0,200,14,3300,False
TXN-1032,CUST-032,4200,CARD,Desktop,IN,IN,0,210,18,4100,False
TXN-1033,CUST-033,8800,CARD,Mobile,IN,SA,2,4,0,1700,True
TXN-1034,CUST-034,1000,UPI,Mobile,IN,IN,0,290,25,980,False
TXN-1035,CUST-035,5600,NETBANKING,Desktop,IN,IN,1,13,3,1800,False
TXN-1036,CUST-036,15000,CARD,Desktop,US,IN,3,3,0,1200,True
TXN-1037,CUST-037,950,UPI,Mobile,IN,IN,0,320,17,920,False
TXN-1038,CUST-038,2200,CARD,Mobile,IN,IN,0,140,11,2300,False
TXN-1039,CUST-039,31000,CARD,Mobile,DE,IN,5,2,0,1500,True
TXN-1040,CUST-040,1450,UPI,Mobile,IN,IN,0,330,20,1380,False
TXN-1041,CUST-041,4800,CARD,Desktop,IN,IN,0,50,6,4500,False
TXN-1042,CUST-042,9300,CARD,Mobile,IN,US,2,6,0,1800,True
TXN-1043,CUST-043,2700,UPI,Mobile,IN,IN,0,240,18,2600,False
TXN-1044,CUST-044,64000,CARD,Desktop,IN,IN,2,8,1,3000,False
TXN-1045,CUST-045,700,UPI,Mobile,IN,IN,0,400,22,730,False
TXN-1046,CUST-046,48000,CARD,Mobile,US,IN,4,2,0,1200,True
TXN-1047,CUST-047,1500,UPI,Mobile,IN,IN,0,160,9,1480,False
TXN-1048,CUST-048,5100,CARD,Desktop,IN,IN,1,20,4,2400,False
TXN-1049,CUST-049,860,UPI,Mobile,IN,IN,0,95,6,840,False
TXN-1050,CUST-050,12500,NETBANKING,Desktop,IN,IN,1,7,1,1500,False
